[16:56:51] [INFO] --- Logger Initialized ---
[16:56:51] [INFO] Virtual CAN Bus Simulator started successfully.
[16:57:14] TX ID: 0x102 DLC: 2 Data: 1C 37 
[16:57:14] TX ID: 0x101 DLC: 2 Data: 10 72 
[16:57:14] TX ID: 0x102 DLC: 2 Data: 1C 36 
[16:57:14] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:14] TX ID: 0x101 DLC: 2 Data: 10 4A 
[16:57:14] TX ID: 0x102 DLC: 2 Data: 1C 35 
[16:57:14] TX ID: 0x101 DLC: 2 Data: 10 22 
[16:57:14] TX ID: 0x102 DLC: 2 Data: 1C 34 
[16:57:14] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:14] TX ID: 0x101 DLC: 2 Data: 0F FA 
[16:57:14] TX ID: 0x102 DLC: 2 Data: 1C 33 
[16:57:14] TX ID: 0x101 DLC: 2 Data: 0F D2 
[16:57:14] TX ID: 0x102 DLC: 2 Data: 1C 32 
[16:57:14] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:14] TX ID: 0x101 DLC: 2 Data: 0F AA 
[16:57:14] TX ID: 0x102 DLC: 2 Data: 1B 31 
[16:57:14] TX ID: 0x101 DLC: 2 Data: 0F 82 
[16:57:14] TX ID: 0x102 DLC: 2 Data: 1B 30 
[16:57:15] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:15] TX ID: 0x101 DLC: 2 Data: 0F 5A 
[16:57:15] TX ID: 0x102 DLC: 2 Data: 1B 2F 
[16:57:15] TX ID: 0x101 DLC: 2 Data: 0F 32 
[16:57:15] TX ID: 0x102 DLC: 2 Data: 1B 2E 
[16:57:15] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:15] TX ID: 0x101 DLC: 2 Data: 0F 0A 
